title,company_name,job_description,job_requirments,location
Data & BI Analyst,Klivvr,"['We put our visionaries first. ', 'We strive for innovation. ', 'We write in pencil. ', 'We leave our titles at the door. ', 'We don’t follow suit. Or wear one. ', 'We see tomorrow and build today. ']","['Identifying data sources', 'Analyzing data, identifying trends, designing key metrics for communicating actionable insights proactively.', 'Precisely collect data inquires and requirements from stakeholders.', 'Processing confidential data and information according to guidelines.', 'Supporting the data warehouse in identifying and revising reporting requirements.', 'Assessing quality of data, optimizing queries, and removing or cleaning data.', 'Developing dashboards and reports for executive teams along with promoting data literacy across the company. ', 'Sourcing missing data, distinguish areas of inefficiencies, conduct root cause analyses']",القاهرة قسم الزمالك مصر
Data Analyst,Axis,"['Interpreting marketing data, analyzing results using statistical techniques and providing']","['Developing & implementing databases, data collection systems, data analytics and other']",القاهرة القاهرة مصر
Data Analyst,Cornerstone Recruitment MENA,"['\n\n            مستوى الأقدمية\n          \n\n            مستوى متوسط الأقدمية\n          \n', '\n\n          نوع التوظيف\n        \n\n          دوام كامل\n        \n', '\n\n            المهام الوظيفية\n          \n\n            تكنولوجيا المعلومات\n          \n', '\n\n            المجالات\n          \n\n          الاستخدام والتوظيف\n          \n']","['\nLinkedIn\n\n© 2022\n', '\n\n          \n          نبذة عني\n        \n        \n', '\n\n          \n          إمكانية الوصول\n        \n        \n', '\n\n          \n          اتفاقية المستخدم\n        \n        \n', '\n\n          \n          سياسة الخصوصية\n        \n        \n', '\n\n          \n          سياسة ملفات تعريف الارتباط\n        \n        \n', '\n\n          \n          سياسة حقوق النشر\n        \n        \n', '\n\n          \n          سياسة العلامة التجارية\n        \n        \n', '\n\n          \n            إعدادات إدارة الضيوف\n          \n        \n', '\n\n          \n          إرشادات المجتمع\n        \n        \n', '\n\n\n\n\n\n\nالعربية (العربية)\n\n\n\n\n\n                Čeština (التشيكية)\n            \n\n\n\n\n                Dansk (الدنمركية)\n            \n\n\n\n\n                Deutsch (الألمانية)\n            \n\n\n\n\n                English (الإنجليزية)\n            \n\n\n\n\n                Español (الإسبانية)\n            \n\n\n\n\n                Français (الفرنسية)\n            \n\n\n\n\n                हिंदी (الهندية)\n            \n\n\n\n\n                Bahasa Indonesia (بهاسا إندونيسيا)\n            \n\n\n\n\n                Italiano (الإيطالية)\n            \n\n\n\n\n                日本語 (اليابانية)\n            \n\n\n\n\n                한국어 (الكورية)\n            \n\n\n\n\n                Bahasa Malaysia (الماليزية)\n            \n\n\n\n\n                Nederlands (الهولندية)\n            \n\n\n\n\n                Norsk (النرويجية)\n            \n\n\n\n\n                Polski (البولندية)\n            \n\n\n\n\n                Português (البرتغالية)\n            \n\n\n\n\n                Română (الرومانية)\n            \n\n\n\n\n                Русский (الروسية)\n            \n\n\n\n\n                Svenska (السويدية)\n            \n\n\n\n\n                ภาษาไทย (التايلاندية)\n            \n\n\n\n\n                Tagalog (التاغلوغية)\n            \n\n\n\n\n                Türkçe (التركية)\n            \n\n\n\n\n                Українська (الأوكرانية)\n            \n\n\n\n\n                简体中文 (الصينية المبسطة)\n            \n\n\n\n\n                正體中文 (الصينية التقليدية)\n            \n\n\n\n\n            اللغة\n          \n\n\n\n', '\n\n\nالعربية (العربية)\n\n', '\n\n\n                Čeština (التشيكية)\n            \n', '\n\n\n                Dansk (الدنمركية)\n            \n', '\n\n\n                Deutsch (الألمانية)\n            \n', '\n\n\n                English (الإنجليزية)\n            \n', '\n\n\n                Español (الإسبانية)\n            \n', '\n\n\n                Français (الفرنسية)\n            \n', '\n\n\n                हिंदी (الهندية)\n            \n', '\n\n\n                Bahasa Indonesia (بهاسا إندونيسيا)\n            \n', '\n\n\n                Italiano (الإيطالية)\n            \n', '\n\n\n                日本語 (اليابانية)\n            \n', '\n\n\n                한국어 (الكورية)\n            \n', '\n\n\n                Bahasa Malaysia (الماليزية)\n            \n', '\n\n\n                Nederlands (الهولندية)\n            \n', '\n\n\n                Norsk (النرويجية)\n            \n', '\n\n\n                Polski (البولندية)\n            \n', '\n\n\n                Português (البرتغالية)\n            \n', '\n\n\n                Română (الرومانية)\n            \n', '\n\n\n                Русский (الروسية)\n            \n', '\n\n\n                Svenska (السويدية)\n            \n', '\n\n\n                ภาษาไทย (التايلاندية)\n            \n', '\n\n\n                Tagalog (التاغلوغية)\n            \n', '\n\n\n                Türkçe (التركية)\n            \n', '\n\n\n                Українська (الأوكرانية)\n            \n', '\n\n\n                简体中文 (الصينية المبسطة)\n            \n', '\n\n\n                正體中文 (الصينية التقليدية)\n            \n']",القاهرة مصر
Fresh Graduates 2021/2022,Arab Bank,"['\n\n            مستوى الأقدمية\n          \n\n            مستوى المبتدئين\n          \n', '\n\n          نوع التوظيف\n        \n\n          دوام كامل\n        \n', '\n\n            المهام الوظيفية\n          \n\n            الإدارة، مالية، و خدمة العملاء\n          \n', '\n\n            المجالات\n          \n\n          الأعمال المصرفية\n          \n']","['\nLinkedIn\n\n© 2022\n', '\n\n          \n          نبذة عني\n        \n        \n', '\n\n          \n          إمكانية الوصول\n        \n        \n', '\n\n          \n          اتفاقية المستخدم\n        \n        \n', '\n\n          \n          سياسة الخصوصية\n        \n        \n', '\n\n          \n          سياسة ملفات تعريف الارتباط\n        \n        \n', '\n\n          \n          سياسة حقوق النشر\n        \n        \n', '\n\n          \n          سياسة العلامة التجارية\n        \n        \n', '\n\n          \n            إعدادات إدارة الضيوف\n          \n        \n', '\n\n          \n          إرشادات المجتمع\n        \n        \n', '\n\n\n\n\n\n\nالعربية (العربية)\n\n\n\n\n\n                Čeština (التشيكية)\n            \n\n\n\n\n                Dansk (الدنمركية)\n            \n\n\n\n\n                Deutsch (الألمانية)\n            \n\n\n\n\n                English (الإنجليزية)\n            \n\n\n\n\n                Español (الإسبانية)\n            \n\n\n\n\n                Français (الفرنسية)\n            \n\n\n\n\n                हिंदी (الهندية)\n            \n\n\n\n\n                Bahasa Indonesia (بهاسا إندونيسيا)\n            \n\n\n\n\n                Italiano (الإيطالية)\n            \n\n\n\n\n                日本語 (اليابانية)\n            \n\n\n\n\n                한국어 (الكورية)\n            \n\n\n\n\n                Bahasa Malaysia (الماليزية)\n            \n\n\n\n\n                Nederlands (الهولندية)\n            \n\n\n\n\n                Norsk (النرويجية)\n            \n\n\n\n\n                Polski (البولندية)\n            \n\n\n\n\n                Português (البرتغالية)\n            \n\n\n\n\n                Română (الرومانية)\n            \n\n\n\n\n                Русский (الروسية)\n            \n\n\n\n\n                Svenska (السويدية)\n            \n\n\n\n\n                ภาษาไทย (التايلاندية)\n            \n\n\n\n\n                Tagalog (التاغلوغية)\n            \n\n\n\n\n                Türkçe (التركية)\n            \n\n\n\n\n                Українська (الأوكرانية)\n            \n\n\n\n\n                简体中文 (الصينية المبسطة)\n            \n\n\n\n\n                正體中文 (الصينية التقليدية)\n            \n\n\n\n\n            اللغة\n          \n\n\n\n', '\n\n\nالعربية (العربية)\n\n', '\n\n\n                Čeština (التشيكية)\n            \n', '\n\n\n                Dansk (الدنمركية)\n            \n', '\n\n\n                Deutsch (الألمانية)\n            \n', '\n\n\n                English (الإنجليزية)\n            \n', '\n\n\n                Español (الإسبانية)\n            \n', '\n\n\n                Français (الفرنسية)\n            \n', '\n\n\n                हिंदी (الهندية)\n            \n', '\n\n\n                Bahasa Indonesia (بهاسا إندونيسيا)\n            \n', '\n\n\n                Italiano (الإيطالية)\n            \n', '\n\n\n                日本語 (اليابانية)\n            \n', '\n\n\n                한국어 (الكورية)\n            \n', '\n\n\n                Bahasa Malaysia (الماليزية)\n            \n', '\n\n\n                Nederlands (الهولندية)\n            \n', '\n\n\n                Norsk (النرويجية)\n            \n', '\n\n\n                Polski (البولندية)\n            \n', '\n\n\n                Português (البرتغالية)\n            \n', '\n\n\n                Română (الرومانية)\n            \n', '\n\n\n                Русский (الروسية)\n            \n', '\n\n\n                Svenska (السويدية)\n            \n', '\n\n\n                ภาษาไทย (التايلاندية)\n            \n', '\n\n\n                Tagalog (التاغلوغية)\n            \n', '\n\n\n                Türkçe (التركية)\n            \n', '\n\n\n                Українська (الأوكرانية)\n            \n', '\n\n\n                简体中文 (الصينية المبسطة)\n            \n', '\n\n\n                正體中文 (الصينية التقليدية)\n            \n']",القاهرة مصر
Reporting and Data Analyst,Property Finder,"['The ideal candidate will use their passion for data and analytics to provide insights into the business covering various topics. ', 'The Reporting and Data Analyst will conduct both recurring and ad hoc analyses from multiple data sources in response to Customer Experience teams’ requests. ', 'Also will develop daily, weekly, and monthly reports supporting the functions and needs of the Customer Experience department. ']","['Graduated from Computer Science or Engineering ', 'Entry level with a minimum 1 year of experience', 'Mathematical background - numeracy skills. ', 'Problem-solving mindset. ', 'Hands-on experience with MS Excel & G-Suite. ', 'Good Understanding of reporting & data visualization. ', 'Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy. ', 'Comfort working in systems and learning new tools such as Zendesk, and SalesForce.']",مصر
Data Analyst,OLX Egypt,"['Accessing data, constructing and manipulating large datasets to support planned analyses, using SQL, Python and similar tools', 'Designing and developing BI dashboards using Sisense or similar tools (Tableau, PowerBI, DataStudio) for various organizational metrics and indicators using best practices and industry standards in finance, sales, inventory, and other areas', 'Help with defining KPIs metrics and drive the data governance through standardization and communication', 'Create the documentation and presentation for the management under the supervision of more senior staff', 'Develop analysis and reporting capabilities; monitor performance and quality control plans to identify improvements.', 'Adapt at queries, report writing and presenting findings', 'Research and validation of entity data using appropriate internal and external data sources', 'Liaising and analysis across projects within the Reference Data environment', 'Analysis, specification, testing and implementation of interfaces, workflow solutions, and reference data solutions – An example would be regression testing systems ahead of upgrades', 'Participate in the design, implementation and interpretation of experiments/trials for continuous refinement of on-going strategies', 'Responsible for data quality and timely delivery of reports that make common business sense', 'Participate in Analytics & Reporting trainings to evangelize data across the organization']","['Bachelor’s degree in statistics, mathematics, computer science, or related field. Masters is a plus.', '2+ year work experience in analytics, having closely worked with product and commercials in an internet/e-commerce company', 'Experience in e-commerce, internet and/or digital media', 'Extensive experience with SQL with proficiency in Microsoft Excel', 'Experience working with BI tools (e.g. Looker, Periscope, Tableau, etc.)', 'Skills in Python, R or similar tools are a big plus', 'Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc).', 'Good analytical skills with a demonstrated ability to translate data and information into actionable insights and business recommendations', 'Written and verbal proficiency in English', 'Proactive and independent of seeking information, solving conceptual problems and delivering high quality results in challenging situations', 'Passion for data and metrics', 'Hands-on attitude and the ability to thrive in a fast-paced environment', 'Highly motivated, professional, creative, proactive and able to work independently and cooperatively in a diverse group', 'Analytical thinking; Conceptual thinking; Detail-oriented; Business Acumen.', 'Strong curiosity and strive for continuous learning', 'Thrive in a fast-paced, innovative environment with good attention to detail', 'Living the team values: Simpler. Better. Faster.']",القاهرة القاهرة مصر
Business Analyst,Zoho,"['Define and plan project milestones, phases and different elements involved in the project along with the principal consultant', 'Drive and challenge the presumptions of delivery teams on how they will successfully execute their plans', 'Ensure Customer Satisfaction through quality deliverable on time']","['\n\n            مستوى الأقدمية\n          \n\n            غير مطبق\n          \n', '\n\n          نوع التوظيف\n        \n\n          دوام كامل\n        \n', '\n\n            المهام الوظيفية\n          \n\n            الأبحاث، محلل، و تكنولوجيا المعلومات\n          \n', '\n\n            المجالات\n          \n\n          تطوير البرامج\n          \n']",القاهرة مصر
Data Analyst,MoneyFellows,"['This dynamic role thus comes with the opportunity to develop superior business acumen amidst a multitude of varied tasks, from building data extracts to dissecting millions of rows of data to reveal and visualize hidden trends.', 'Handle day-to-day insights as a core representative of the data analyst squad by collaborating with cross functional teams reporting to the Head of Data Science and Business Insights while simultaneously acting as a focused consultant for business units.', 'After a specified period of time, the analyst will be allowed to rotate with other members of the data analysis squad in order to further their exposure to other areas of the business.', 'The analyst will be expected to have a finely-tuned understanding of both data and statistical analysis to be able to ask the right questions that assist in optimizing efficiency and maximizing impact.', 'At MoneyFellows, we encourage both creativity and ownership, and thus the successful candidate will also be someone who is constantly assessing where there is room for improvement and will have the opportunity to bring any of their own projects to life. ']","['Minimum of a bachelor’s degree in Statistics, Analytics, Economics, Mathematics, Engineering or related field.', '1+  years of experience in the field of Data Analysis.', 'Sufficiency in data analysis tools and technologies:', 'SQL', 'Python', 'Excel', 'Knowledge of dashboarding tools (e.g. Tableau or Power BI) is a big plus', 'Excellent communication skills as the candidate will be required to translate numbers and trends into business insights.', 'Self-development focused and will be expected to constantly improve their skill set.']",القاهرة القاهرة مصر
Data Analyst-Fintech,MaxAB,"['Interpret data, analyze results using statistical techniques and provide ongoing reports', 'Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality', 'Acquire data from primary or secondary data sources and maintain databases/data systems', 'Identify, analyze, and interpret trends or patterns in complex data sets', 'Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems', 'Work with management to prioritize business and information needs', 'Locate and define new process improvement opportunities']","['BS in Mathematics, Economics, Computer Science, Information Management or Statistics', '1-3 years of relevant experience.', 'Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc).', 'Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, etc)', 'Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy']",القاهرة القاهرة مصر
Senior Data Analyst,Floward,"['Embark on exploratory data analysis to unravel insights and form a better understanding of business processes as well as to discover opportunities of growth and optimization.', 'Delivering high quality analysis, reports, and definitive dashboards using simple yet effective visualizations techniques.', 'Build, automate and maintain our ETLs using', 'Help define and track the appropriate key metrics for specific projects.', 'Design and run controlled experiments and surveys, analyze the resulting data and communicate results with other teams;', 'Support the business functions primarily in the tactical & strategic projects.']","['Strong experience (3+ years minimum) of writing in SQL, Python and/or R.', 'Good Experience (2+ years) with languages and tools for of data manipulation, analysis and plotting (R, R-shiny, R-markdown, Python, Pandas, Matplotlib, Bokeh, Jupyter).', 'Good knowledge (2+ years) in leveraging statistical/analytical practices to drive commercial value.', 'Good experience (2+ years) in building dashboards and reports through BI Platforms such as Tableau or Power BI.', 'Good communication skills, particularly with leadership-level, and ability to work with teams distributed across different geographies.', 'Experience with CI/CD practices and tools is a plus.', 'Experience with Git and Github is a plus.']",القاهرة القاهرة مصر
Data Scientist,Floward,"['Unravel ambiguous business problems and create opportunities to drive objective criteria using data.', 'Drive exploratory data analysis to understand the ecosystem and customer behavior, identifying new levers to drive our success metrics.', 'Shape and influence data/ML models and instrumentation to optimize the product experience and generate insights on new areas of opportunity and new products.', 'Build, configure, deploy and maintain ETL and data pipelines in production environments.', 'Collaborate with other team members, data analysts, data architects and data engineers to achieve your goals and objectives.', 'Summarize, document and communicate data transformation and analyzes to stakeholders.', 'Partner effectively with product and other stakeholders, to drive successful and relevant solutions.']","['Strong academic knowledge and hands on experience (4+ years) in data mining, applied statistics and machine learning.', 'Experience (2+ years) with mathematical and statistical data analysis techniques (such as regression, time series analysis, forecasting, statistical hypothesis testing and multi-variate testing).', 'Advanced knowledge (4+ years) in writing SQL and R/Python to derive insights and apply statistical inference.', 'Good Experience (3+ years) with languages and tools for of data manipulation, analysis and plotting (R, R-shiny, R-markdown, Python, Pandas, Matplotlib, Bokeh, Jupyter).', 'Good experience (3+ years) designing, developing and deploying data applications and ML models at scale.', 'Good experience (3+ years) with data visualization tools and techniques (Tableau, Streamlit, PowerBI,…).', 'Experience with code contribution and versioning tools like Github is a strong plus.']",القاهرة القاهرة مصر
Head of Data Analytics - Cairo - Egypt,Vezeeta,"['Lead Data Analytics team across different markets focusing on APP&Web Analytics.', 'Mining and analyzing event-level campaign data to provide actionable insights into the drivers of incremental ROI', 'Creating an effective segmentation strategy for our audience', 'Measurement and performance reporting of all campaigns running through various channels', 'Use A/B testing and a variety of alternative methodologies to measure marketing effectiveness, attribution, and ROI', 'Advocate and communicate ways to optimize the performance of our campaigns working closely with different internal teams and departments', 'Providing ad hoc analytical support to key stakeholders, e.g. performance marketing, web analytics, product growth', 'Extract/generate periodic customized/standard-reports as required', 'Synthesize information from various sources / partners, e.g. CRM, Google Analytics 360, MixPanel, to prepare reports as required.', 'Prepare and analyze various reports to monitor the effectiveness of targeted direct marketing programs vs website performance.', 'Analysing online user behaviour, conversion data and customer journeys, funnel analysis and multi-channel attribution', ' Performing analyse on conversion optimisation and develop conversion optimisation strategies based on solid analytical data.']","['A postgraduate degree in a quantitative field (e.g. Business Administration, Economics, Finance, Econometrics, Statistics, Mathematics, or Information Systems)', 'Understand all components of experimental design from sampling to measuring the effect(s), hands-on experience with A/B testing in a commercial environment a plus', '8+ years of experience with statistical analyses and APP Analytics. ', 'Large experience managing Web Analytics & App Analytics team.', 'Ability to prioritize work according to business objectives, understanding the balance between effort and impact', 'A strong eye for detail and an inquisitive mind, naturally being driven to continuously finding ways to improve the department’s and your own performance', 'A real team player with a solutions-focus and entrepreneurial spirit', 'Exceptional communication skills in spoken and written English', 'Excellent organizational skills with the ability to manage multiple, competing for priorities simultaneously, and deliver results under tight deadlines', 'Professional experience in the digital media landscape is a plus', 'Excellent knowledge and understanding of digital marketing reporting technologies and processes.']",القاهرة القاهرة مصر
corporate strategy business analyst ,Telecom Egypt,"['To have a degree in Business Administration, Computer Science, Information Technology, Information Management, Economics, or Statistics, or in a related field.', 'Master’s degree in Business Administration', 'Fluent English', '3-7 experience in the same field , communications experience would be preferred. ']","['Relevant experience in strategy, corporate development, business development, corporate strategic planning, management consulting, or related fields, 5-10 years cumulatively', 'S/he must possess advanced knowledge of data management. S/he also require a proven history of implementing and executing business ideas', 'Support management team in delivering the 3-year Strategic Action Plan, Annual plan, and Monthly Rolling Forecasts. As well as delivering all related performance variance analysis (Monthly Performance Reviews).', 'Strong Knowledge of retail and wholesale services in Egyptian telecommunication market from the business perspective.', 'Ability to gather and analyze data through primary and/or secondary research, extract best practices to build a scalable robust framework and use the strategic thinking to inform go-to-market decisions.', 'Ability to build and maintain a portfolio of resources, economic/data models and tools to carry out Business Analysis and Market Research studies on different market or customer segments and granularities.', 'Ability to present new business ideas, insights and recommendations to stakeholders.', 'Ability to synthesis the research into narratives with tangible and quantified business recommendations and go-to-market strategies, and track the implementation of these recommendations to maximize the impact to the business.', 'Strong written and verbal communication skills', 'Strong quantitative and analytical skills, with excellent problem-solving abilities.', 'Advanced Excel user or familiarity with other BI tools']",القاهرة مصر
Discover Graduate Program - Business Intelligence,Vodafone,"['Fresh graduates with an outstanding academic record (Fresh Grads: any graduates of the year 2022, 2021 or 2020, & for males who finished the military service either in 2021 or 2022 and finalized their military documents)', 'A fresh graduate with diverse extracurricular & internship experiences', 'Fluent in English', 'Strong potentiality & spirit attributes', 'Strong interpersonal skills, innovative, and proactive spirit']","['Degree Discipline', 'Ability code using modern day web languages', 'A passion for Software and Technology', 'Created software applications at home or at university', ' Previous knowledge in Big Data technology is a plus . ', ' Good knowledge in Relational database management or Data ware house tools like data visualization , reporting , extraction . ', ' Excellent communication skills ']",مصر
