title,company_name,job_description,job_requirments,location
Data Science Specialist,NEXEL PARTNERS,['\n\n          نوع التوظيف\n        \n\n          عقد\n        \n'],"['\nLinkedIn\n\n© 2022\n', '\n\n          \n          نبذة عني\n        \n        \n', '\n\n          \n          إمكانية الوصول\n        \n        \n', '\n\n          \n          اتفاقية المستخدم\n        \n        \n', '\n\n          \n          سياسة الخصوصية\n        \n        \n', '\n\n          \n          سياسة ملفات تعريف الارتباط\n        \n        \n', '\n\n          \n          سياسة حقوق النشر\n        \n        \n', '\n\n          \n          سياسة العلامة التجارية\n        \n        \n', '\n\n          \n            إعدادات إدارة الضيوف\n          \n        \n', '\n\n          \n          إرشادات المجتمع\n        \n        \n', '\n\n\n\n\n\n\nالعربية (العربية)\n\n\n\n\n\n                Čeština (التشيكية)\n            \n\n\n\n\n                Dansk (الدنمركية)\n            \n\n\n\n\n                Deutsch (الألمانية)\n            \n\n\n\n\n                English (الإنجليزية)\n            \n\n\n\n\n                Español (الإسبانية)\n            \n\n\n\n\n                Français (الفرنسية)\n            \n\n\n\n\n                हिंदी (الهندية)\n            \n\n\n\n\n                Bahasa Indonesia (بهاسا إندونيسيا)\n            \n\n\n\n\n                Italiano (الإيطالية)\n            \n\n\n\n\n                日本語 (اليابانية)\n            \n\n\n\n\n                한국어 (الكورية)\n            \n\n\n\n\n                Bahasa Malaysia (الماليزية)\n            \n\n\n\n\n                Nederlands (الهولندية)\n            \n\n\n\n\n                Norsk (النرويجية)\n            \n\n\n\n\n                Polski (البولندية)\n            \n\n\n\n\n                Português (البرتغالية)\n            \n\n\n\n\n                Română (الرومانية)\n            \n\n\n\n\n                Русский (الروسية)\n            \n\n\n\n\n                Svenska (السويدية)\n            \n\n\n\n\n                ภาษาไทย (التايلاندية)\n            \n\n\n\n\n                Tagalog (التاغلوغية)\n            \n\n\n\n\n                Türkçe (التركية)\n            \n\n\n\n\n                Українська (الأوكرانية)\n            \n\n\n\n\n                简体中文 (الصينية المبسطة)\n            \n\n\n\n\n                正體中文 (الصينية التقليدية)\n            \n\n\n\n\n            اللغة\n          \n\n\n\n', '\n\n\nالعربية (العربية)\n\n', '\n\n\n                Čeština (التشيكية)\n            \n', '\n\n\n                Dansk (الدنمركية)\n            \n', '\n\n\n                Deutsch (الألمانية)\n            \n', '\n\n\n                English (الإنجليزية)\n            \n', '\n\n\n                Español (الإسبانية)\n            \n', '\n\n\n                Français (الفرنسية)\n            \n', '\n\n\n                हिंदी (الهندية)\n            \n', '\n\n\n                Bahasa Indonesia (بهاسا إندونيسيا)\n            \n', '\n\n\n                Italiano (الإيطالية)\n            \n', '\n\n\n                日本語 (اليابانية)\n            \n', '\n\n\n                한국어 (الكورية)\n            \n', '\n\n\n                Bahasa Malaysia (الماليزية)\n            \n', '\n\n\n                Nederlands (الهولندية)\n            \n', '\n\n\n                Norsk (النرويجية)\n            \n', '\n\n\n                Polski (البولندية)\n            \n', '\n\n\n                Português (البرتغالية)\n            \n', '\n\n\n                Română (الرومانية)\n            \n', '\n\n\n                Русский (الروسية)\n            \n', '\n\n\n                Svenska (السويدية)\n            \n', '\n\n\n                ภาษาไทย (التايلاندية)\n            \n', '\n\n\n                Tagalog (التاغلوغية)\n            \n', '\n\n\n                Türkçe (التركية)\n            \n', '\n\n\n                Українська (الأوكرانية)\n            \n', '\n\n\n                简体中文 (الصينية المبسطة)\n            \n', '\n\n\n                正體中文 (الصينية التقليدية)\n            \n']",القاهرة مصر
Data Scientist,Reliance Health,"['Building AI/ML models to automate different enterprise processes such as claim and provider management, customer acquisition, engagement retention, customer support, and finance and human resource functions', 'Building intelligent mobile app functions to improve members’ health', 'Providing key actionable insights to management', 'Using data to estimate provider quality of care']","['Minimum 1-year experience as a data scientist, with a particular focus on machine learning and NLP. ', 'Tertiary education from a recognized institution, in a quantitative field', 'Experience with Python and AI/ML libraries', 'Experience in modelling consumer behavior is a plus', 'Experience with medical data is a plus', 'Ability to work independently in a fast-paced environment']",القاهرة القاهرة مصر
Data Scientist,Floward,"['Unravel ambiguous business problems and create opportunities to drive objective criteria using data.', 'Drive exploratory data analysis to understand the ecosystem and customer behavior, identifying new levers to drive our success metrics.', 'Shape and influence data/ML models and instrumentation to optimize the product experience and generate insights on new areas of opportunity and new products.', 'Build, configure, deploy and maintain ETL and data pipelines in production environments.', 'Collaborate with other team members, data analysts, data architects and data engineers to achieve your goals and objectives.', 'Summarize, document and communicate data transformation and analyzes to stakeholders.', 'Partner effectively with product and other stakeholders, to drive successful and relevant solutions.']","['Strong academic knowledge and hands on experience (4+ years) in data mining, applied statistics and machine learning.', 'Experience (2+ years) with mathematical and statistical data analysis techniques (such as regression, time series analysis, forecasting, statistical hypothesis testing and multi-variate testing).', 'Advanced knowledge (4+ years) in writing SQL and R/Python to derive insights and apply statistical inference.', 'Good Experience (3+ years) with languages and tools for of data manipulation, analysis and plotting (R, R-shiny, R-markdown, Python, Pandas, Matplotlib, Bokeh, Jupyter).', 'Good experience (3+ years) designing, developing and deploying data applications and ML models at scale.', 'Good experience (3+ years) with data visualization tools and techniques (Tableau, Streamlit, PowerBI,…).', 'Experience with code contribution and versioning tools like Github is a strong plus.']",القاهرة القاهرة مصر
Python Developer For sports statistics ,Fekra Egypt,"['Hands-on experience in Python, especially in the development of ETL pipelines and/or APIs', 'Deep knowledge of SQL Server, or another relational database, and strong data modeling skills', 'Willingness to dig into legacy code in order to troubleshoot issues and understand requirements for the new things we build', '5+ years of professional experience working in a modern product/engineering-focused organization', 'Communication skills that allow one to partner directly with products, internal customers, and clients to determine requirements, trade-offs, and goals', 'Experience leading complicated data migrations', 'Experience deploying apps on Azure', 'A fan’s knowledge of sports statistics in one or more major US sports (basketball, baseball, football, hockey)', 'Background working in B2B environments will be a plus']","['Modernize our data ecosystem and establish patterns for data ingestion and syndication', 'Work with engineering, product, and company leadership to ensure that our approach is in line with broader company goals', 'Collaborate directly with our research team to understand their needs so you can propose solutions that improve data workflows']",مصر
AI Programming with Python,Udacity,"['Proficient in English Language. ', 'Technical competence: Python Development, AI neural networks, deep learning, and PyTorch, upyter Notebooks, NumPy, Anaconda, pandas, and Matplotlib, Linear algebra for AI success: vectors, linear transformations, and matrices, Linear algebra behind neural networks, Calculus - plotting, derivatives, and the chain rule', '2+ years of working experience related to the above skillsets.', 'Graduate from AI Programming with Python Nanodegree Program is a added plus', 'Experience teaching technical concepts and public speaking', 'Strong interpersonal skills and confidence to lead a group of students', 'Students-oriented mindset and focus on understanding their problems', 'Innovative approach and proactivity with students that need help', 'Positive character, trusted by the students, creating emotional ties in the group', 'Existing tech network and experience in technical conversations & discussions', 'Ability to speak and write in English fluently', 'Flexibility at their current job to take this challenge as a part-time, external contractor']","['Managing weekly Connect sessions with students according to Udacity guidelines', 'Creating the Udacity Connect session agenda & notes', 'Coordinating between the students and the Udacity Connect team', 'Reporting to Udacity the weekly overall attendance status of students & observations about each session', 'Being present at every Connect session over Zoom, helping students introduce themselves, organizing students in groups and keeping track of time', 'Explaining concepts of the Nanodegree program to your group of students when needed', 'Solving questions raised by students during the Connect session', ""Reporting student's attendance and progress to the Mentor's dashboard"", 'Communicating with students on Slack', 'Weekly check-in with all students on their progress']",القاهرة مصر
Machine Learning & Data Analysis Graduate Intern,Si-Ware Systems,"['Contribute to data analysis of NeoSpectra production statistics.', 'Build an automated dashboard interface for data analysis of NeoSpectra performance parameters from core technology level to product level, stored in a global database.', 'Detect measurement outliers and correct systematic variations using machine learning techniques.', 'Support creating an automated testing software for core technology components.', 'Create smart image processing screening software for NeoSpectra components.', 'Support in studying system-level variations effects on NeoSpectra applications using chemometric methods.', 'Contribute in building an automated chemometric-based data analysis platform for NeoSpectra products.']","['\n\n            مستوى الأقدمية\n          \n\n            مستوى المبتدئين\n          \n', '\n\n          نوع التوظيف\n        \n\n          فترة تدريب\n        \n', '\n\n            المهام الوظيفية\n          \n\n            الهندسة\n          \n', '\n\n            المجالات\n          \n\n          الهندسة المدنية\n          \n']",القاهرة القاهرة مصر
Data Analyst,Axis,"['Interpreting marketing data, analyzing results using statistical techniques and providing']","['Developing & implementing databases, data collection systems, data analytics and other']",القاهرة القاهرة مصر
Remote Python Developer Jobs,Turing.com,"['Lead technical discussions among software engineers ', 'Work across teams to design scalable, flexible to cater for multiple use cases and scenarios', 'Review existing applications and optimize accordingly', 'Design and implement reliable, low-latency, and highly performant applications ', 'Collaborate with other developers and engineers to resolve errors and fix bugs']","['Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)', 'At least 3+ years of relevant experience as a software developer', 'Extensive experience working with Python and related technologies', 'Nice to have some knowledge of other object-oriented languages', 'Familiarity with HTML, CSS, and AWS environment is desirable', 'Ability to triage problems, prioritize accordingly, and propose a resolution', 'Ability to work independently, raise issues and take corrective action']",مصر
Software Engineer Graduate Intern,Dell Technologies,"['Be part of a creative team that works on automation projects.', 'Participate in project lifecycle from requirements gathering and implementation to project delivery', 'Use the most efficient method or develop a method to Add, update, remove and correct Install Base data records, based on reports, cross-functional analysis, metrics, or KPIs, while complying with the operational standards and procedures.', 'Oversee keeping Install Base data up to date to match the dynamic business changes as well as physical changes that occur in Dell products possessed by any customer. ', 'Analyzes data and reporting to identify trends, systemic gaps, scoping and targeting impacted data records.', 'Trace products’ data flow in several Information systems through the product lifecycle and different information systems, deducing comparative analysis between large data sets.', 'Proactively explore opportunities of continuous improvements for the data quality through identifying data errors; investigating to determine root causes and proposing solutions (data cleanup projects, system enhancements, automation…).', ""Contributes to the development of the organization's goals and objectives. "", 'Frequent inter-organizational and outside customer contacts. ', 'Collaboration across multiple business units for business initiatives. ', 'Represents the organization on projects and may perform in a project leadership role and/or may supervise the activities of lower-level personnel (exempt professional and non-exempt).', 'Works under limited direction. Determines and develops an approach to solutions. ', 'Work on several information systems (Oracle, SAP, Salesforce…) and use a variety of tools including complex searches and queries and running macros and scripts.']","['Fresh Graduates/ Master’s Student', 'Systems thinking and understanding workflows.', 'Analytical thinking, Innovative.', 'Communication skills (spoken and written fluency).', 'Database querying across multiple databases (SQL or similar).', 'Robotics Process Automation, macros, front-end automation scripting,', 'programming languages (Java, C++, Python, Go or JavaScript….)', 'Critical eye for Systems testing (User Acceptance Testing)', 'Knowledge of user interface design and prototyping', 'Knowledge of object-oriented programming, Microservices, REST API design, React, and databases', 'Good knowledge of container technologies and Kubernetes', 'Good knowledge in scheduling and cost sizing for software development projects of medium complexity', 'Knowledge of CI/CD']",القاهرة القاهرة مصر
Software Engineer Graduate Intern,Dell Technologies,"['Be part of a creative team that works on automation projects.', 'Participate in project lifecycle from requirements gathering and implementation to project delivery', 'Use the most efficient method or develop a method to Add, update, remove and correct Install Base data records, based on reports, cross-functional analysis, metrics, or KPIs, while complying with the operational standards and procedures.', 'Oversee keeping Install Base data up to date to match the dynamic business changes as well as physical changes that occur in Dell products possessed by any customer. ', 'Analyzes data and reporting to identify trends, systemic gaps, scoping and targeting impacted data records.', 'Trace products’ data flow in several Information systems through the product lifecycle and different information systems, deducing comparative analysis between large data sets.', 'Proactively explore opportunities of continuous improvements for the data quality through identifying data errors; investigating to determine root causes and proposing solutions (data cleanup projects, system enhancements, automation…).', ""Contributes to the development of the organization's goals and objectives. "", 'Frequent inter-organizational and outside customer contacts. ', 'Collaboration across multiple business units for business initiatives. ', 'Represents the organization on projects and may perform in a project leadership role and/or may supervise the activities of lower-level personnel (exempt professional and non-exempt).', 'Works under limited direction. Determines and develops an approach to solutions. ', 'Work on several information systems (Oracle, SAP, Salesforce…) and use a variety of tools including complex searches and queries and running macros and scripts.']","['Fresh Graduates/ Master’s Student', 'Systems thinking and understanding workflows.', 'Analytical thinking, Innovative.', 'Communication skills (spoken and written fluency).', 'Database querying across multiple databases (SQL or similar).', 'Robotics Process Automation, macros, front-end automation scripting,', 'programming languages (Java, C++, Python, Go or JavaScript….)', 'Critical eye for Systems testing (User Acceptance Testing)', 'Knowledge of user interface design and prototyping', 'Knowledge of object-oriented programming, Microservices, REST API design, React, and databases', 'Good knowledge of container technologies and Kubernetes', 'Good knowledge in scheduling and cost sizing for software development projects of medium complexity', 'Knowledge of CI/CD']",القاهرة القاهرة مصر
